From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
8j20	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8j20	O14843	reviewed	FFAR3_HUMAN	Free fatty acid receptor 3	FFAR3 GPR41	Homo sapiens	346
8g59	Q5NUL3	reviewed	FFAR4_HUMAN	Free fatty acid receptor 4	FFAR4 GPR120 GPR129 O3FAR1 PGR4	Homo sapiens	361
7utz	P63092	reviewed	GNAS2_HUMAN	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	GNAS GNAS1 GSP	Homo sapiens	394
7zxk	Q8NEV9	reviewed	IL27A_HUMAN	Interleukin-27 subunit alpha	IL27 IL27A IL30	Homo sapiens	243
7zxk	Q14213	reviewed	IL27B_HUMAN	Interleukin-27 subunit beta	EBI3 IL27B	Homo sapiens	229
8iod	P33032	reviewed	MC5R_HUMAN	Melanocortin receptor 5	MC5R	Homo sapiens	325
8iod	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
5hi5	Q16552	reviewed	IL17_HUMAN	Interleukin-17A	IL17A CTLA8 IL17	Homo sapiens	155
6att	P04626	reviewed	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens	1255
8iod	P63092	reviewed	GNAS2_HUMAN	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	GNAS GNAS1 GSP	Homo sapiens	394
8iod	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
6usf	P43681	reviewed	ACHA4_HUMAN	Neuronal acetylcholine receptor subunit alpha-4	CHRNA4 NACRA4	Homo sapiens	627
6usf	P17787	reviewed	ACHB2_HUMAN	Neuronal acetylcholine receptor subunit beta-2	CHRNB2	Homo sapiens	502
8g59	P50148	reviewed	GNAQ_HUMAN	Guanine nucleotide-binding protein G(q) subunit alpha	GNAQ GAQ	Homo sapiens	359
8g59	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8g59	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8smk	Q9UM07	reviewed	PADI4_HUMAN	Protein-arginine deiminase type-4	PADI4 PAD4 PADI5 PDI5	Homo sapiens	663
5ug0	Q6PIL8	unreviewed	Q6PIL8_HUMAN	IGK@ protein	IGK@	Homo sapiens	236
7wj5	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
7wj5	P61278	reviewed	SMS_HUMAN	Somatostatin	SST	Homo sapiens	116
8kfy	P51685	reviewed	CCR8_HUMAN	C-C chemokine receptor type 8	CCR8 CKRL1 CMKBR8 CMKBRL2	Homo sapiens	355
3b2v	Q6GMX6	unreviewed	Q6GMX6_HUMAN	IGH@ protein	IGH@	Homo sapiens	465
3b2v	P01857	reviewed	IGHG1_HUMAN	Immunoglobulin heavy constant gamma 1	IGHG1	Homo sapiens	399
3b2v	P01834	reviewed	IGKC_HUMAN	Immunoglobulin kappa constant	IGKC	Homo sapiens	107
3b2v	P00533	reviewed	EGFR_HUMAN	Epidermal growth factor receptor	EGFR ERBB ERBB1 HER1	Homo sapiens	1210
8jpn	Q9BXA5	reviewed	SUCR1_HUMAN	Succinate receptor 1	SUCNR1 GPR91	Homo sapiens	334
8jpn	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
8jpn	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8jpn	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7wvm	Q15116	reviewed	PDCD1_HUMAN	Programmed cell death protein 1	PDCD1 PD1	Homo sapiens	288
2vxq	P01857	reviewed	IGHG1_HUMAN	Immunoglobulin heavy constant gamma 1	IGHG1	Homo sapiens	399
2vxq	P01834	reviewed	IGKC_HUMAN	Immunoglobulin kappa constant	IGKC	Homo sapiens	107
4y5v	P19235	reviewed	EPOR_HUMAN	Erythropoietin receptor	EPOR	Homo sapiens	508
6bkc	Q8TCD0	unreviewed	Q8TCD0_HUMAN	Ig-like domain-containing protein		Homo sapiens	239
6bkc	P0DOX5	reviewed	IGG1_HUMAN	Immunoglobulin gamma-1 heavy chain		Homo sapiens	449
7wp2	A0A5C2GQT9	unreviewed	A0A5C2GQT9_HUMAN	IG c335_light_IGLV1-40_IGLJ3		Homo sapiens	111
7mdp	P01116	reviewed	RASK_HUMAN	GTPase KRas	KRAS KRAS2 RASK2	Homo sapiens	189
5mev	Q07820	reviewed	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1	MCL1 BCL2L3	Homo sapiens	350
6opq	P01730	reviewed	CD4_HUMAN	T-cell surface glycoprotein CD4	CD4	Homo sapiens	458
3t2n	P05981	reviewed	HEPS_HUMAN	Serine protease hepsin	HPN TMPRSS1	Homo sapiens	417
4m62	P01619	reviewed	KV320_HUMAN	Immunoglobulin kappa variable 3-20	IGKV3-20	Homo sapiens	116
6mi2	Q07011	reviewed	TNR9_HUMAN	Tumor necrosis factor receptor superfamily member 9	TNFRSF9 CD137 ILA	Homo sapiens	255
2nxy	Q6P5S8	unreviewed	Q6P5S8_HUMAN	IGK@ protein	IGK@	Homo sapiens	236
2nxy	Q6N095	unreviewed	Q6N095_HUMAN	Ig-like domain-containing protein	DKFZp686K03196	Homo sapiens	475
2nxy	P01730	reviewed	CD4_HUMAN	T-cell surface glycoprotein CD4	CD4	Homo sapiens	458
6rp8	P16410	reviewed	CTLA4_HUMAN	Cytotoxic T-lymphocyte protein 4	CTLA4 CD152	Homo sapiens	223
6wir	Q16552	reviewed	IL17_HUMAN	Interleukin-17A	IL17A CTLA8 IL17	Homo sapiens	155
8kfy	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8kfy	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8kfy	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
8ath	P11279	reviewed	LAMP1_HUMAN	Lysosome-associated membrane glycoprotein 1	LAMP1	Homo sapiens	417
7eo4	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7eo4	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7eo4	P21453	reviewed	S1PR1_HUMAN	Sphingosine 1-phosphate receptor 1	S1PR1 CHEDG1 EDG1	Homo sapiens	382
8ejc	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
6oel	P24394	reviewed	IL4RA_HUMAN	Interleukin-4 receptor subunit alpha	IL4R IL4RA 582J2.1	Homo sapiens	825
7wn8	Q08722	reviewed	CD47_HUMAN	Leukocyte surface antigen CD47	CD47 MER6	Homo sapiens	323
8ejc	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
6oel	P05112	reviewed	IL4_HUMAN	Interleukin-4	IL4	Homo sapiens	153
3ulu	O15455	reviewed	TLR3_HUMAN	Toll-like receptor 3	TLR3	Homo sapiens	904
4hwb	P78552	reviewed	I13R1_HUMAN	Interleukin-13 receptor subunit alpha-1	IL13RA1 IL13R IL13RA	Homo sapiens	427
7yeg	Q9BYF1	reviewed	ACE2_HUMAN	Angiotensin-converting enzyme 2	ACE2 UNQ868/PRO1885	Homo sapiens	805
6bkd	Q6PIL8	unreviewed	Q6PIL8_HUMAN	IGK@ protein	IGK@	Homo sapiens	236
8jhb	O60353	reviewed	FZD6_HUMAN	Frizzled-6	FZD6	Homo sapiens	706
8eb2	A0A140T9X5	unreviewed	A0A140T9X5_HUMAN	Major histocompatibility complex, class I, A	HLA-A	Homo sapiens	371
7t0w	P47870	reviewed	GBRB2_HUMAN	Gamma-aminobutyric acid receptor subunit beta-2 receptor subunit beta-2)	GABRB2	Homo sapiens	512
7t0w	P14867	reviewed	GBRA1_HUMAN	Gamma-aminobutyric acid receptor subunit alpha-1 receptor subunit alpha-1)	GABRA1	Homo sapiens	456
6bkd	S6B2A6	unreviewed	S6B2A6_HUMAN	IgG H chain		Homo sapiens	300
6yxd	Q86V24	reviewed	PAQR2_HUMAN	Adiponectin receptor protein 2	ADIPOR2 PAQR2	Homo sapiens	386
8jhb	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7xk2	Q8TDS4	reviewed	HCAR2_HUMAN	Hydroxycarboxylic acid receptor 2	HCAR2 GPR109A HCA2 HM74A NIACR1	Homo sapiens	363
7xk2	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
7xk2	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7xk2	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8wu1	P30518	reviewed	V2R_HUMAN	Vasopressin V2 receptor	AVPR2 ADHR DIR DIR3 V2R	Homo sapiens	371
8wu1	P21554	reviewed	CNR1_HUMAN	Cannabinoid receptor 1	CNR1 CNR	Homo sapiens	472
8jhb	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8jhb	Q5JWF2	reviewed	GNAS1_HUMAN	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	GNAS GNAS1	Homo sapiens	1037
7niv	P21439	reviewed	MDR3_HUMAN	Phosphatidylcholine translocator ABCB4	ABCB4 MDR3 PGY3	Homo sapiens	1286
7t0w	P18507	reviewed	GBRG2_HUMAN	Gamma-aminobutyric acid receptor subunit gamma-2 receptor subunit gamma-2)	GABRG2	Homo sapiens	475
8eb2	P61769	reviewed	B2MG_HUMAN	Beta-2-microglobulin	B2M CDABP0092 HDCMA22P	Homo sapiens	119
8jeo	Q495A1	reviewed	TIGIT_HUMAN	T-cell immunoreceptor with Ig and ITIM domains	TIGIT VSIG9 VSTM3	Homo sapiens	244
7dc8	P08887	reviewed	IL6RA_HUMAN	Interleukin-6 receptor subunit alpha	IL6R	Homo sapiens	468
7y24	P30874	reviewed	SSR2_HUMAN	Somatostatin receptor type 2	SSTR2	Homo sapiens	369
7y24	P09471	reviewed	GNAO_HUMAN	Guanine nucleotide-binding protein G(o) subunit alpha	GNAO1	Homo sapiens	354
6hhc	P03951	reviewed	FA11_HUMAN	Coagulation factor XI	F11	Homo sapiens	625
8cyh	Q13421	reviewed	MSLN_HUMAN	Mesothelin	MSLN MPF	Homo sapiens	630
1gc1	P01730	reviewed	CD4_HUMAN	T-cell surface glycoprotein CD4	CD4	Homo sapiens	458
8dy5	Q16552	reviewed	IL17_HUMAN	Interleukin-17A	IL17A CTLA8 IL17	Homo sapiens	155
8ivw	O60462	reviewed	NRP2_HUMAN	Neuropilin-2	NRP2 VEGF165R2	Homo sapiens	931
8id9	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8id9	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8id9	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
7v68	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
7v68	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7v68	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7y24	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7v68	P08173	reviewed	ACM4_HUMAN	Muscarinic acetylcholine receptor M4	CHRM4	Homo sapiens	479
4hcr	Q13477	reviewed	MADCA_HUMAN	Mucosal addressin cell adhesion molecule 1	MADCAM1	Homo sapiens	382
8gy5	Q15116	reviewed	PDCD1_HUMAN	Programmed cell death protein 1	PDCD1 PD1	Homo sapiens	288
8ucd	Q9UHE8	reviewed	STEA1_HUMAN	STEAP1 protein	STEAP1 PRSS24 STEAP	Homo sapiens	339
8iow	P08887	reviewed	IL6RA_HUMAN	Interleukin-6 receptor subunit alpha	IL6R	Homo sapiens	468
6dkj	P0DOX5	reviewed	IGG1_HUMAN	Immunoglobulin gamma-1 heavy chain		Homo sapiens	449
4xx1	P04180	reviewed	LCAT_HUMAN	Phosphatidylcholine-sterol acyltransferase	LCAT	Homo sapiens	440
6yxf	Q86V24	reviewed	PAQR2_HUMAN	Adiponectin receptor protein 2	ADIPOR2 PAQR2	Homo sapiens	386
6fax	P25942	reviewed	TNR5_HUMAN	Tumor necrosis factor receptor superfamily member 5	CD40 TNFRSF5	Homo sapiens	277
6cm3	P01730	reviewed	CD4_HUMAN	T-cell surface glycoprotein CD4	CD4	Homo sapiens	458
4zfg	O15123	reviewed	ANGP2_HUMAN	Angiopoietin-2	ANGPT2	Homo sapiens	496
5ug0	Q6N089	unreviewed	Q6N089_HUMAN	Ig-like domain-containing protein	DKFZp686P15220	Homo sapiens	472
7wz7	Q5T601	reviewed	AGRF1_HUMAN	Adhesion G-protein coupled receptor F1	ADGRF1 GPR110 PGR19	Homo sapiens	910
7wz7	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8id9	Q5NUL3	reviewed	FFAR4_HUMAN	Free fatty acid receptor 4	FFAR4 GPR120 GPR129 O3FAR1 PGR4	Homo sapiens	361
7eo4	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
7y24	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
6ban	Q01973	reviewed	ROR1_HUMAN	Inactive tyrosine-protein kinase transmembrane receptor ROR1	ROR1 NTRKR1	Homo sapiens	937
6fgb	P55899	reviewed	FCGRN_HUMAN	IgG receptor FcRn large subunit p51	FCGRT FCRN	Homo sapiens	365
6fgb	P61769	reviewed	B2MG_HUMAN	Beta-2-microglobulin	B2M CDABP0092 HDCMA22P	Homo sapiens	119
8jhi	Q9NPG1	reviewed	FZD3_HUMAN	Frizzled-3	FZD3	Homo sapiens	666
7yv1	P01116	reviewed	RASK_HUMAN	GTPase KRas	KRAS KRAS2 RASK2	Homo sapiens	189
8efl	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
8efl	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8efl	P35372	reviewed	OPRM_HUMAN	Mu-type opioid receptor	OPRM1 MOR1	Homo sapiens	400
8jhi	Q5JWF2	reviewed	GNAS1_HUMAN	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	GNAS GNAS1	Homo sapiens	1037
3pgf	Q8TCD0	unreviewed	Q8TCD0_HUMAN	Ig-like domain-containing protein		Homo sapiens	239
3pgf	P0DOX5	reviewed	IGG1_HUMAN	Immunoglobulin gamma-1 heavy chain		Homo sapiens	449
8xql	Q9NYV8	reviewed	T2R14_HUMAN	Taste receptor type 2 member 14	TAS2R14	Homo sapiens	317
8xql	P63092	reviewed	GNAS2_HUMAN	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	GNAS GNAS1 GSP	Homo sapiens	394
8xql	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
5grj	Q9NZQ7	reviewed	PD1L1_HUMAN	Programmed cell death 1 ligand 1	CD274 B7H1 PDCD1L1 PDCD1LG1 PDL1	Homo sapiens	290
8xql	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
2fjg	P15692	reviewed	VEGFA_HUMAN	Vascular endothelial growth factor A, long form	VEGFA VEGF	Homo sapiens	395
8jhi	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8r4o	Q9Y2K2	reviewed	SIK3_HUMAN	Serine/threonine-protein kinase SIK3	SIK3 KIAA0999 QSK L19	Homo sapiens	1321
7sr8	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7sr8	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7sr8	O43614	reviewed	OX2R_HUMAN	Orexin receptor type 2	HCRTR2	Homo sapiens	444
7czv	Q8TCD0	unreviewed	Q8TCD0_HUMAN	Ig-like domain-containing protein		Homo sapiens	239
7czv	P0DP02	reviewed	HVC33_HUMAN	Immunoglobulin heavy variable 3-30-3	IGHV3-30-3	Homo sapiens	117
7czv	P0DOX5	reviewed	IGG1_HUMAN	Immunoglobulin gamma-1 heavy chain		Homo sapiens	449
7czv	P01594	reviewed	KV133_HUMAN	Immunoglobulin kappa variable 1-33	IGKV1-33	Homo sapiens	117
5d71	P04141	reviewed	CSF2_HUMAN	Granulocyte-macrophage colony-stimulating factor	CSF2 GMCSF	Homo sapiens	144
4ers	P47871	reviewed	GLR_HUMAN	Glucagon receptor	GCGR	Homo sapiens	477
5hhx	Q16552	reviewed	IL17_HUMAN	Interleukin-17A	IL17A CTLA8 IL17	Homo sapiens	155
7e9b	Q15116	reviewed	PDCD1_HUMAN	Programmed cell death protein 1	PDCD1 PD1	Homo sapiens	288
5vqm	Q8TCD0	unreviewed	Q8TCD0_HUMAN	Ig-like domain-containing protein		Homo sapiens	239
5vqm	S6B291	unreviewed	S6B291_HUMAN	IgG H chain		Homo sapiens	466
8ejc	O14842	reviewed	FFAR1_HUMAN	Free fatty acid receptor 1	FFAR1 GPR40	Homo sapiens	300
7w0m	P35414	reviewed	APJ_HUMAN	Apelin receptor	APLNR AGTRL1 APJ	Homo sapiens	380
6bfq	P04141	reviewed	CSF2_HUMAN	Granulocyte-macrophage colony-stimulating factor	CSF2 GMCSF	Homo sapiens	144
8dpi	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8dpi	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8dpi	P28335	reviewed	5HT2C_HUMAN	5-hydroxytryptamine receptor 2C	HTR2C HTR1C	Homo sapiens	458
7uih	Q13200	reviewed	PSMD2_HUMAN	26S proteasome non-ATPase regulatory subunit 2	PSMD2 TRAP2	Homo sapiens	908
8f6o	Q7Z6A9	reviewed	BTLA_HUMAN	B- and T-lymphocyte attenuator	BTLA	Homo sapiens	289
3tje	P25445	reviewed	TNR6_HUMAN	Tumor necrosis factor receptor superfamily member 6	FAS APT1 FAS1 TNFRSF6	Homo sapiens	335
4ogx	S6C4R2	unreviewed	S6C4R2_HUMAN	IgG H chain		Homo sapiens	275
4ogx	Q7Z3Y4	unreviewed	Q7Z3Y4_HUMAN	Ig-like domain-containing protein		Homo sapiens	236
4ogx	P03952	reviewed	KLKB1_HUMAN	Plasma kallikrein	KLKB1 KLK3	Homo sapiens	638
7xw7	P16473	reviewed	TSHR_HUMAN	Thyrotropin receptor	TSHR LGR3	Homo sapiens	764
7kez	P15692	reviewed	VEGFA_HUMAN	Vascular endothelial growth factor A, long form	VEGFA VEGF	Homo sapiens	395
7w0m	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7mnl	P49792	reviewed	RBP2_HUMAN	E3 SUMO-protein ligase RanBP2	RANBP2 NUP358	Homo sapiens	3224
7sk4	P48061	reviewed	SDF1_HUMAN	Stromal cell-derived factor 1	CXCL12 SDF1 SDF1A SDF1B	Homo sapiens	93
7sk4	P25106	reviewed	ACKR3_HUMAN	Atypical chemokine receptor 3	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	Homo sapiens	362
1h0d	P03950	reviewed	ANGI_HUMAN	Angiogenin	ANG RNASE5	Homo sapiens	147
8jj1	Q12879	reviewed	NMDE1_HUMAN	Glutamate receptor ionotropic, NMDA 2A	GRIN2A NMDAR2A	Homo sapiens	1464
8jj1	Q05586	reviewed	NMDZ1_HUMAN	Glutamate receptor ionotropic, NMDA 1	GRIN1 NMDAR1	Homo sapiens	938
8vrb	A0A3G8GE10	unreviewed	A0A3G8GE10_HUMAN	HLA-A antigen		Homo sapiens	365
8vrb	P61769	reviewed	B2MG_HUMAN	Beta-2-microglobulin	B2M CDABP0092 HDCMA22P	Homo sapiens	119
8vrb	P01116	reviewed	RASK_HUMAN	GTPase KRas	KRAS KRAS2 RASK2	Homo sapiens	189
4o58	S6C4S0	unreviewed	S6C4S0_HUMAN	IgG H chain		Homo sapiens	275
4o58	P0DOY2	reviewed	IGLC2_HUMAN	Immunoglobulin lambda constant 2	IGLC2	Homo sapiens	106
3g6d	P35225	reviewed	IL13_HUMAN	Interleukin-13	IL13 NC30	Homo sapiens	146
6o3b	O75084	reviewed	FZD7_HUMAN	Frizzled-7	FZD7	Homo sapiens	574
7xxl	P0DOX5	reviewed	IGG1_HUMAN	Immunoglobulin gamma-1 heavy chain		Homo sapiens	449
6e4x	Q8TCD0	unreviewed	Q8TCD0_HUMAN	Ig-like domain-containing protein		Homo sapiens	239
8ija	Q8TDS4	reviewed	HCAR2_HUMAN	Hydroxycarboxylic acid receptor 2	HCAR2 GPR109A HCA2 HM74A NIACR1	Homo sapiens	363
7w0m	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7wsl	Q15116	reviewed	PDCD1_HUMAN	Programmed cell death protein 1	PDCD1 PD1	Homo sapiens	288
7wj5	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7wj5	P30874	reviewed	SSR2_HUMAN	Somatostatin receptor type 2	SSTR2	Homo sapiens	369
8pwh	P04626	reviewed	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens	1255
7qn7	P48169	reviewed	GBRA4_HUMAN	Gamma-aminobutyric acid receptor subunit alpha-4 receptor subunit alpha-4)	GABRA4	Homo sapiens	554
7qn7	P28472	reviewed	GBRB3_HUMAN	Gamma-aminobutyric acid receptor subunit beta-3 receptor subunit beta-3)	GABRB3	Homo sapiens	473
7qn7	O14764	reviewed	GBRD_HUMAN	Gamma-aminobutyric acid receptor subunit delta receptor subunit delta)	GABRD	Homo sapiens	452
5czx	Q9UM47	reviewed	NOTC3_HUMAN	Neurogenic locus notch homolog protein 3	NOTCH3	Homo sapiens	2321
4d9r	P01857	reviewed	IGHG1_HUMAN	Immunoglobulin heavy constant gamma 1	IGHG1	Homo sapiens	399
4d9r	P01834	reviewed	IGKC_HUMAN	Immunoglobulin kappa constant	IGKC	Homo sapiens	107
4d9r	P00746	reviewed	CFAD_HUMAN	Complement factor D	CFD DF PFD	Homo sapiens	253
8szy	Q495A1	reviewed	TIGIT_HUMAN	T-cell immunoreceptor with Ig and ITIM domains	TIGIT VSIG9 VSTM3	Homo sapiens	244
1g9m	P01730	reviewed	CD4_HUMAN	T-cell surface glycoprotein CD4	CD4	Homo sapiens	458
7re7	A0A140T913	unreviewed	A0A140T913_HUMAN	Major histocompatibility complex, class I, A	HLA-A	Homo sapiens	371
7w0m	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
7re7	P61769	reviewed	B2MG_HUMAN	Beta-2-microglobulin	B2M CDABP0092 HDCMA22P	Homo sapiens	119
4uv7	P00533	reviewed	EGFR_HUMAN	Epidermal growth factor receptor	EGFR ERBB ERBB1 HER1	Homo sapiens	1210
7vla	Q16663	reviewed	CCL15_HUMAN	C-C motif chemokine 15	CCL15 MIP5 NCC3 SCYA15	Homo sapiens	113
7vla	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
7vla	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
7vla	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
7vla	P32246	reviewed	CCR1_HUMAN	C-C chemokine receptor type 1	CCR1 CMKBR1 CMKR1 SCYAR1	Homo sapiens	355
5w1m	Q6N089	unreviewed	Q6N089_HUMAN	Ig-like domain-containing protein	DKFZp686P15220	Homo sapiens	472
5w1m	Q0KKI6	unreviewed	Q0KKI6_HUMAN	Immunoblobulin light chain		Homo sapiens	219
9ew2	O75084	reviewed	FZD7_HUMAN	Frizzled-7	FZD7	Homo sapiens	574
9ew2	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
4g3y	P01375	reviewed	TNFA_HUMAN	Tumor necrosis factor	TNF TNFA TNFSF2	Homo sapiens	233
5iwl	Q08722	reviewed	CD47_HUMAN	Leukocyte surface antigen CD47	CD47 MER6	Homo sapiens	323
9ew2	Q5JWD1	unreviewed	Q5JWD1_HUMAN	GNAS complex locus	GNAS	Homo sapiens	87
7re7	P02771	reviewed	FETA_HUMAN	Alpha-fetoprotein	AFP HPAFP	Homo sapiens	609
7wj5	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8ija	P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	Homo sapiens	354
8ija	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8id6	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
